date,state,infected,landed flights,month
5/20/2020,LA,35316,278,October
5/20/2020,CO,22482,280,February
5/20/2020,AZ,14897,331,November
5/20/2020,AL,12744,368,October
5/20/2020,NC,20122,422,July
5/20/2020,OH,29436,484,November
5/20/2020,FL,47471,527,August
5/20/2020,IN,29274,569,January
5/20/2020,MI,60151,575,May
5/20/2020,WI,15269,577,April
5/20/2020,CT,39017,587,June
5/20/2020,VA,32908,763,November
5/20/2020,MN,20609,767,September
5/20/2020,MD,42323,777,June
5/20/2020,GA,39647,926,June
5/20/2020,MA,88970,1045,February
5/20/2020,NJ,150399,1386,February
5/20/2020,TX,51323,1411,December
5/20/2020,NY,354370,1525,October
5/20/2020,CA,84057,2262,November
5/20/2020,IL,100418,2388,February
5/21/2020,MP,22,1,September
5/21/2020,MT,479,1,July
5/21/2020,HI,643,2,July
5/21/2020,VT,950,6,October
5/21/2020,WY,801,14,July
5/21/2020,OR,3817,16,September
5/21/2020,ID,2506,30,March
5/21/2020,PR,2913,47,November
5/21/2020,WV,1593,48,January
5/21/2020,ME,1877,58,October
5/21/2020,SD,4250,73,April
5/21/2020,NV,7255,89,May
5/21/2020,ND,2165,95,August
5/21/2020,MO,11340,108,November
5/21/2020,SC,9175,119,September
5/21/2020,NM,6317,125,June
5/21/2020,NH,3868,147,January
5/21/2020,OK,5680,148,January
5/21/2020,UT,7874,164,August
5/21/2020,RI,13748,169,June
5/21/2020,CT,39208,191,May
5/21/2020,DE,8386,192,August
5/21/2020,KY,8275,206,March
5/21/2020,DC,7788,237,March
5/21/2020,MS,12222,255,April
5/21/2020,NE,11122,276,December
5/21/2020,WA,20524,296,November
5/21/2020,CO,22797,315,March
5/21/2020,AL,13119,375,November
5/21/2020,AZ,15315,418,March
5/21/2020,TN,18961,429,October
5/21/2020,AR,5458,455,January
5/21/2020,MI,60610,459,November
5/21/2020,WI,15792,523,October
5/21/2020,IA,16170,556,November
5/21/2020,IN,29936,662,September
5/21/2020,OH,30167,731,January
5/21/2020,NC,20860,738,February
5/21/2020,GA,40405,758,January
5/21/2020,TX,52268,945,July
5/21/2020,MN,21582,973,July
5/21/2020,NJ,151472,1073,June
5/21/2020,MA,90084,1114,May
5/21/2020,LA,36504,1188,February
5/21/2020,FL,48675,1204,January
5/21/2020,MD,43531,1208,July
5/21/2020,VA,34137,1229,February
5/21/2020,PA,65392,1726,August
5/21/2020,NY,356458,2088,February
5/21/2020,CA,86197,2140,June
5/21/2020,IL,102686,2268,March
5/22/2020,AK,404,2,October
5/22/2020,VT,952,2,December
5/22/2020,WY,803,2,December
5/22/2020,HI,647,4,September
5/22/2020,KY,8286,11,July
5/22/2020,WV,1616,23,August
5/22/2020,ID,2534,28,May
5/22/2020,OR,3864,47,April
5/22/2020,NH,3935,67,February
5/22/2020,ND,2235,70,November
5/22/2020,ME,1948,71,March
5/22/2020,DC,7893,105,March
5/22/2020,SD,4356,106,April
5/22/2020,PR,3030,117,April
5/22/2020,DE,8529,143,January
5/22/2020,NV,7401,146,September
5/22/2020,AR,5612,154,February
5/22/2020,NM,6472,155,March
5/22/2020,OK,5849,169,September
5/22/2020,UT,8057,183,August
5/22/2020,RI,13949,201,October
5/22/2020,MO,11558,218,January
5/22/2020,AZ,15608,293,January
5/22/2020,NE,11425,303,January
5/22/2020,WA,20837,313,January
5/22/2020,IA,16504,334,June
5/22/2020,CO,23191,394,December
5/22/2020,MS,12624,402,July
5/22/2020,KS,8958,419,July
5/22/2020,LA,36925,421,November
5/22/2020,CT,39640,432,September
5/22/2020,TN,19394,433,July
5/22/2020,AL,13563,444,August
5/22/2020,SC,9638,463,September
5/22/2020,MI,61075,465,November
5/22/2020,IN,30409,473,March
5/22/2020,WI,16340,548,December
5/22/2020,OH,30794,627,April
5/22/2020,NC,21618,758,June
5/22/2020,FL,49451,776,March
5/22/2020,MN,22374,792,December
5/22/2020,MA,90889,805,September
5/22/2020,GA,41218,813,October
5/22/2020,VA,34950,813,December
5/22/2020,PA,66258,866,January
5/22/2020,MD,44424,893,January
5/22/2020,TX,53449,1181,February
5/22/2020,NJ,152719,1247,October
5/22/2020,NY,358154,1696,February
5/22/2020,CA,88444,2247,May
5/22/2020,IL,105444,2758,June
5/23/2020,VT,954,2,June
5/23/2020,AK,408,4,March
5/23/2020,WY,813,10,January
5/23/2020,OR,3888,24,July
5/23/2020,ND,2284,49,October
5/23/2020,ID,2595,61,December
5/23/2020,ME,2013,65,December
5/23/2020,PR,3100,70,March
5/23/2020,DC,7966,73,July
5/23/2020,WV,1717,101,August
5/23/2020,RI,14057,108,September
5/23/2020,OK,5960,111,January
5/23/2020,SD,4468,112,May
5/23/2020,LA,37040,115,October
5/23/2020,KY,8426,140,October
5/23/2020,WA,20986,149,June
5/23/2020,NM,6625,153,November
5/23/2020,NH,4089,154,February
5/23/2020,DE,8690,161,June
5/23/2020,MO,11752,194,April
5/23/2020,UT,8260,203,August
5/23/2020,MI,61293,218,September
5/23/2020,NE,11662,237,May
5/23/2020,SC,9895,257,April
5/23/2020,NV,7696,295,December
5/23/2020,CO,23487,296,March
5/23/2020,AL,13938,375,July
5/23/2020,MS,13005,381,November
5/23/2020,CT,40022,382,December
5/23/2020,NJ,153104,385,June
5/23/2020,IA,16893,389,May
5/23/2020,MN,22765,391,January
5/23/2020,TN,19789,395,January
5/23/2020,AZ,16039,431,February
5/23/2020,IN,30901,492,February
5/23/2020,WI,16843,503,November
5/23/2020,OH,31408,614,September
5/23/2020,FL,50127,676,August
5/23/2020,PA,66983,725,July
5/23/2020,MA,91662,773,September
5/23/2020,VA,35749,799,August
5/23/2020,GA,42132,914,November
5/23/2020,TX,54509,1060,October
5/23/2020,MD,45495,1071,December
5/23/2020,NC,22725,1107,September
5/23/2020,NY,359926,1772,June
5/23/2020,CA,90631,2187,October
5/23/2020,IL,107796,2352,January
5/24/2020,GU,166,1,October
5/24/2020,HI,643,1,December
5/24/2020,VT,956,2,April
5/24/2020,WY,838,25,November
5/24/2020,ID,2626,31,October
5/24/2020,OR,3927,39,October
5/24/2020,ME,2055,42,August
5/24/2020,WV,1759,42,July
5/24/2020,ND,2338,54,February
5/24/2020,NV,7770,74,September
5/24/2020,OK,6037,77,June
5/24/2020,RI,14141,84,June
5/24/2020,PR,3189,89,November
5/24/2020,SD,4563,95,November
5/24/2020,WA,21087,101,October
5/24/2020,DE,8809,119,April
5/24/2020,LA,37169,129,March
5/24/2020,UT,8392,132,April
5/24/2020,KY,8571,145,November
5/24/2020,MI,61457,164,July
5/24/2020,NM,6795,170,June
5/24/2020,SC,10096,201,August
5/24/2020,MO,11988,236,November
5/24/2020,MS,13252,247,May
5/24/2020,AZ,16339,300,May
5/24/2020,AR,5922,310,June
5/24/2020,NE,11989,327,December
5/24/2020,MN,23121,356,November
5/24/2020,TN,20145,356,December
5/24/2020,IA,17252,359,April
5/24/2020,AL,14327,389,April
5/24/2020,WI,17253,410,July
5/24/2020,CT,40468,446,November
5/24/2020,IN,31376,475,July
5/24/2020,CO,23964,477,December
5/24/2020,VA,36244,495,March
5/24/2020,NC,23222,497,July
5/24/2020,OH,31911,503,September
5/24/2020,GA,42838,706,May
5/24/2020,PA,67713,730,June
5/24/2020,FL,50867,740,August
5/24/2020,MD,46313,818,April
5/24/2020,TX,55348,839,July
5/24/2020,MA,92675,1013,January
5/24/2020,NJ,154154,1050,September
5/24/2020,NY,361515,1589,October
5/24/2020,CA,92710,2079,December
5/24/2020,IL,110304,2508,July
5/25/2020,AK,409,1,September
5/25/2020,WY,843,5,November
5/25/2020,VT,962,6,September
5/25/2020,WV,1774,15,February
5/25/2020,ME,2074,19,June
5/25/2020,OR,3949,22,April
5/25/2020,SD,4586,23,August
5/25/2020,ND,2378,40,July
5/25/2020,OK,6090,53,April
5/25/2020,NH,4149,60,April
5/25/2020,RI,14211,70,November
5/25/2020,PR,3260,71,December
5/25/2020,SC,10178,82,January
5/25/2020,AR,6029,107,February
5/25/2020,NV,7879,109,November
5/25/2020,UT,8521,129,December
5/25/2020,NE,12134,145,September
5/25/2020,NM,6943,148,August
5/25/2020,WA,21236,149,March
5/25/2020,DE,8965,156,March
5/25/2020,MI,61632,175,September
5/25/2020,MO,12167,179,November
5/25/2020,MS,13458,206,July
5/25/2020,CO,24174,210,July
5/25/2020,AZ,16561,222,December
5/25/2020,DC,8225,259,August
5/25/2020,KS,9218,260,March
5/25/2020,WI,17571,318,September
5/25/2020,IA,17577,325,February
5/25/2020,IN,31715,339,November
5/25/2020,AL,14730,403,April
5/25/2020,MN,23524,403,June
5/25/2020,CT,40873,405,September
5/25/2020,TN,20607,462,December
5/25/2020,PA,68186,473,May
5/25/2020,GA,43344,506,July
5/25/2020,OH,32477,566,March
5/25/2020,MA,93271,596,January
5/25/2020,TX,55971,623,September
5/25/2020,LA,37809,640,October
5/25/2020,NC,23964,742,May
5/25/2020,MD,47152,839,September
5/25/2020,FL,51746,879,October
5/25/2020,NJ,155092,938,June
5/25/2020,NY,362764,1249,August
5/25/2020,VA,37727,1483,June
5/25/2020,IL,112017,1713,September
5/25/2020,CA,94558,1848,November
5/26/2020,AK,411,2,June
5/26/2020,GU,169,3,April
5/26/2020,VT,967,5,August
5/26/2020,WY,850,7,April
5/26/2020,OR,3967,18,January
5/26/2020,ME,2109,35,June
5/26/2020,ND,2421,43,December
5/26/2020,OK,6137,47,May
5/26/2020,NH,4197,48,June
5/26/2020,PR,3324,64,March
5/26/2020,SD,4653,67,January
5/26/2020,WV,1854,80,August
5/26/2020,NM,7026,83,September
5/26/2020,CO,24269,95,March
5/26/2020,UT,8620,99,February
5/26/2020,DE,9066,101,March
5/26/2020,DC,8334,109,February
5/26/2020,NV,7997,118,July
5/26/2020,MO,12291,124,July
5/26/2020,IA,17703,126,May
5/26/2020,AR,6180,151,July
5/26/2020,RI,14365,154,August
5/26/2020,NC,24140,176,January
5/26/2020,NE,12355,221,January
5/26/2020,AZ,16783,222,January
5/26/2020,SC,10416,238,June
5/26/2020,LA,38054,245,April
5/26/2020,MS,13731,273,August
5/26/2020,WI,17867,296,October
5/26/2020,TN,20965,358,April
5/26/2020,IN,32078,363,January
5/26/2020,GA,43730,386,June
5/26/2020,WA,21634,398,January
5/26/2020,MA,93693,422,May
5/26/2020,CT,41303,430,September
5/26/2020,MI,62075,443,May
5/26/2020,PA,68637,451,October
5/26/2020,FL,52255,509,March
5/26/2020,OH,33006,529,December
5/26/2020,MD,47687,535,August
5/26/2020,TX,56560,589,August
5/26/2020,AL,15396,666,December
5/26/2020,NJ,155764,672,February
5/26/2020,MN,24308,784,August
5/26/2020,NY,363836,1072,July
5/26/2020,IL,113195,1178,February
5/26/2020,VA,39342,1615,April
5/26/2020,CA,96733,2175,December
5/27/2020,AK,412,1,November
5/27/2020,GU,170,1,May
5/27/2020,MT,481,2,July
5/27/2020,VT,971,4,July
5/27/2020,WY,860,10,October
5/27/2020,WV,1867,13,March
5/27/2020,ND,2438,17,July
5/27/2020,ME,2137,28,April
5/27/2020,DE,9096,30,September
5/27/2020,NH,4231,34,September
5/27/2020,SD,4710,57,March
5/27/2020,OR,4038,71,August
5/27/2020,DC,8406,72,May
5/27/2020,ID,2699,73,November
5/27/2020,PR,3397,73,August
5/27/2020,UT,8706,86,September
5/27/2020,OK,6229,92,December
5/27/2020,AR,6277,97,March
5/27/2020,NM,7130,104,April
5/27/2020,NV,8113,116,August
5/27/2020,KS,9337,119,September
5/27/2020,RI,14498,133,January
5/27/2020,MO,12492,201,August
5/27/2020,SC,10623,207,January
5/27/2020,NE,12619,264,August
5/27/2020,CO,24565,296,November
5/27/2020,MS,14044,313,September
5/27/2020,TN,21306,341,June
5/27/2020,WA,21985,351,October
5/27/2020,IN,32437,359,July
5/27/2020,FL,52634,379,July
5/27/2020,MI,62461,386,September
5/27/2020,OH,33439,433,October
5/27/2020,LA,38497,443,November
5/27/2020,AL,15843,447,January
5/27/2020,AZ,17262,479,November
5/27/2020,NC,24628,488,June
5/27/2020,KY,9077,506,May
5/27/2020,MA,94220,527,August
5/27/2020,WI,18513,646,August
5/27/2020,IA,18360,657,April
5/27/2020,MN,24988,680,October
5/27/2020,GA,44421,691,June
5/27/2020,MD,48423,736,January
5/27/2020,PA,69417,780,December
5/27/2020,NJ,156628,864,July
5/27/2020,VA,40249,907,June
5/27/2020,IL,114306,1111,May
5/27/2020,NY,364965,1129,February
5/27/2020,TX,57921,1361,August
5/27/2020,CA,98980,2247,June
5/28/2020,HI,644,1,May
5/28/2020,GU,172,2,June
5/28/2020,VT,974,3,January
5/28/2020,MT,485,4,August
5/28/2020,AK,425,13,May
5/28/2020,WY,876,16,December
5/28/2020,ID,2731,32,September
5/28/2020,WV,1906,39,October
5/28/2020,ND,2479,41,January
5/28/2020,OK,6270,41,June
5/28/2020,OR,4086,48,December
5/28/2020,ME,2189,52,March
5/28/2020,NH,4286,55,June
5/28/2020,DE,9171,75,February
5/28/2020,SD,4793,83,June
5/28/2020,DC,8492,86,October
5/28/2020,PR,3486,89,May
5/28/2020,NV,8208,95,June
5/28/2020,NM,7252,122,October
5/28/2020,RI,14630,132,January
5/28/2020,SC,10788,165,July
5/28/2020,MO,12673,181,July
5/28/2020,CO,24767,202,August
5/28/2020,IA,18573,213,February
5/28/2020,UT,8921,215,August
5/28/2020,AR,6538,261,October
5/28/2020,CT,41559,271,October
5/28/2020,WA,22285,300,February
5/28/2020,LA,38802,305,April
5/28/2020,MS,14372,328,October
5/28/2020,MI,62797,336,February
5/28/2020,NE,12976,357,May
5/28/2020,TN,21679,373,September
5/28/2020,AL,16310,467,November
5/28/2020,OH,33915,476,April
5/28/2020,AZ,17763,501,April
5/28/2020,WI,19077,564,March
5/28/2020,MN,25559,571,August
5/28/2020,PA,70042,625,April
5/28/2020,IN,33068,631,September
5/28/2020,GA,45070,649,July
5/28/2020,FL,53285,651,July
5/28/2020,MA,94895,675,February
5/28/2020,NC,25412,784,May
5/28/2020,VA,41401,1152,December
5/28/2020,NJ,157815,1187,January
5/28/2020,MD,49709,1286,June
5/28/2020,IL,115833,1527,November
5/28/2020,NY,366733,1768,January
5/28/2020,TX,59776,1855,September
5/28/2020,CA,101697,2717,November
5/29/2020,VT,975,1,January
5/29/2020,HI,647,3,October
5/29/2020,AK,430,5,July
5/29/2020,MT,493,8,January
5/29/2020,WY,891,15,April
5/29/2020,ME,2226,37,September
5/29/2020,ID,2769,38,May
5/29/2020,ND,2519,40,March
5/29/2020,OR,4131,45,September
5/29/2020,WV,1951,45,February
5/29/2020,DC,8538,46,December
5/29/2020,DE,9236,65,May
5/29/2020,OK,6338,68,June
5/29/2020,SD,4866,73,August
5/29/2020,NH,4386,100,July
5/29/2020,KY,9184,107,March
5/29/2020,NM,7364,112,June
5/29/2020,MO,12795,122,July
5/29/2020,NV,8350,142,June
5/29/2020,PR,3647,161,October
5/29/2020,RI,14808,178,August
5/29/2020,CT,41762,203,September
5/29/2020,NE,13261,285,November
5/29/2020,MI,63116,319,August
5/29/2020,SC,11131,343,August
5/29/2020,UT,9264,343,July
5/29/2020,WA,22630,345,October
5/29/2020,IA,18926,353,January
5/29/2020,CO,25121,354,March
5/29/2020,KS,9719,382,March
5/29/2020,TN,22085,406,September
5/29/2020,MS,14790,418,March
5/29/2020,MN,26013,454,August
5/29/2020,IN,33558,490,September
5/29/2020,AL,16823,513,December
5/29/2020,GA,45670,600,January
5/29/2020,MA,95512,617,December
5/29/2020,OH,34566,651,February
5/29/2020,AZ,18465,702,December
5/29/2020,WI,19843,766,July
5/29/2020,NJ,158844,1029,November
5/29/2020,NC,26488,1076,August
5/29/2020,VA,42533,1132,November
5/29/2020,FL,54497,1212,February
5/29/2020,TX,61006,1230,September
5/29/2020,MD,50988,1279,January
5/29/2020,PA,71339,1297,July
5/29/2020,NY,368284,1551,April
5/29/2020,IL,117455,1622,January
5/29/2020,CA,103886,2189,July
5/30/2020,GU,173,1,July
5/30/2020,HI,649,2,March
5/30/2020,VT,977,2,June
5/30/2020,AK,434,4,April
5/30/2020,WY,898,7,May
5/30/2020,MT,505,12,August
5/30/2020,WV,1974,23,April
5/30/2020,ID,2803,34,November
5/30/2020,ND,2553,34,March
5/30/2020,OR,4185,54,May
5/30/2020,ME,2282,56,August
5/30/2020,PR,3718,71,October
5/30/2020,OK,6418,80,December
5/30/2020,SD,4960,94,January
5/30/2020,RI,14912,104,September
5/30/2020,NH,4492,106,June
5/30/2020,NM,7493,129,February
5/30/2020,NV,8495,145,December
5/30/2020,WA,22778,148,November
5/30/2020,MO,12962,167,February
5/30/2020,MN,26181,168,October
5/30/2020,DC,8717,179,August
5/30/2020,DE,9422,186,October
5/30/2020,MI,63321,205,October
5/30/2020,CT,42022,260,November
5/30/2020,SC,11394,263,May
5/30/2020,UT,9533,269,April
5/30/2020,KY,9464,280,December
5/30/2020,IA,19244,318,February
5/30/2020,NE,13654,393,March
5/30/2020,MS,15229,439,September
5/30/2020,OH,35034,468,April
5/30/2020,AR,7013,475,February
5/30/2020,TN,22566,481,November
5/30/2020,CO,25613,492,November
5/30/2020,AL,17359,536,January
5/30/2020,WI,20382,539,June
5/30/2020,GA,46286,616,June
5/30/2020,IN,34211,653,November
5/30/2020,PA,72031,692,November
5/30/2020,NJ,159608,764,October
5/30/2020,LA,39577,775,January
5/30/2020,MA,96301,789,October
5/30/2020,AZ,19255,790,March
5/30/2020,FL,55424,927,February
5/30/2020,MD,52015,1027,April
5/30/2020,VA,43611,1078,October
5/30/2020,NC,27673,1185,September
5/30/2020,TX,62338,1332,April
5/30/2020,NY,369660,1376,April
5/30/2020,IL,118917,1462,April
5/30/2020,CA,106878,2992,March
5/31/2020,HI,651,2,May
5/31/2020,VT,981,4,May
5/31/2020,WY,903,5,August
5/31/2020,MT,515,10,December
5/31/2020,ND,2576,23,August
5/31/2020,SD,4993,33,February
5/31/2020,ID,2839,36,July
5/31/2020,WV,2010,36,January
5/31/2020,ME,2325,43,March
5/31/2020,NH,4545,53,April
5/31/2020,OR,4243,58,August
5/31/2020,PR,3776,58,December
5/31/2020,DE,9498,76,August
5/31/2020,RI,14988,76,May
5/31/2020,DC,8801,84,August
5/31/2020,OK,6506,88,February
5/31/2020,NV,8593,98,November
5/31/2020,WA,22878,100,January
5/31/2020,NM,7624,131,April
5/31/2020,MN,26322,141,July
5/31/2020,CT,42201,179,March
5/31/2020,WI,20564,182,May
5/31/2020,MO,13147,185,May
5/31/2020,AR,7253,240,September
5/31/2020,KY,9704,240,December
5/31/2020,MI,63568,247,December
5/31/2020,NE,13905,251,May
5/31/2020,UT,9797,264,June
5/31/2020,MS,15501,272,May
5/31/2020,IA,19552,308,February
5/31/2020,LA,39916,339,September
5/31/2020,IN,34574,363,September
5/31/2020,TN,23006,440,May
5/31/2020,SC,11861,467,August
5/31/2020,OH,35513,479,September
5/31/2020,CO,26098,485,May
5/31/2020,PA,72546,515,January
5/31/2020,AL,17903,544,August
5/31/2020,MA,96965,664,March
5/31/2020,AZ,19936,681,May
5/31/2020,GA,46986,700,October
5/31/2020,FL,56163,739,September
5/31/2020,MD,52778,763,August
5/31/2020,NJ,160445,837,February
5/31/2020,NC,28589,916,June
5/31/2020,VA,44607,996,December
5/31/2020,NY,370770,1110,November
5/31/2020,IL,120260,1343,February
5/31/2020,TX,64287,1949,October
5/31/2020,CA,110583,3705,June
6/1/2020,HI,652,1,January
6/1/2020,VI,70,1,April
6/1/2020,GU,175,2,September
6/1/2020,VT,983,2,June
6/1/2020,MT,519,4,June
6/1/2020,WV,2017,7,August
6/1/2020,WY,910,7,October
6/1/2020,ME,2349,24,March
6/1/2020,AK,467,33,March
6/1/2020,SD,5034,41,July
6/1/2020,ND,2623,47,March
6/1/2020,DC,8857,56,February
6/1/2020,OR,4302,59,February
6/1/2020,NM,7689,65,December
6/1/2020,OK,6573,67,November
6/1/2020,NV,8688,95,September
6/1/2020,PR,3873,97,March
6/1/2020,RI,15087,99,July
6/1/2020,NH,4651,106,August
6/1/2020,DE,9605,107,May
6/1/2020,IA,19697,145,March
6/1/2020,WI,20736,172,February
6/1/2020,MO,13327,180,July
6/1/2020,AZ,20123,187,August
6/1/2020,AR,7443,190,October
6/1/2020,NE,14101,196,April
6/1/2020,UT,9999,202,August
6/1/2020,MI,63813,245,October
6/1/2020,MS,15752,251,December
6/1/2020,IN,34830,256,January
6/1/2020,CO,26378,280,August
6/1/2020,SC,12148,287,May
6/1/2020,KS,10011,292,August
6/1/2020,KY,10046,342,January
6/1/2020,PA,72898,352,August
6/1/2020,WA,23288,410,March
6/1/2020,LA,40341,425,November
6/1/2020,AL,18363,460,December
6/1/2020,OH,35984,471,July
6/1/2020,NJ,160918,473,July
6/1/2020,CT,42743,542,December
6/1/2020,TN,23554,548,July
6/1/2020,MD,53327,549,July
6/1/2020,MN,26897,575,February
6/1/2020,TX,64880,593,February
6/1/2020,GA,47618,632,August
6/1/2020,FL,56830,667,November
6/1/2020,NC,29263,674,February
6/1/2020,VA,45398,791,August
6/1/2020,NY,371711,941,November
6/1/2020,IL,121234,974,October
6/1/2020,CA,113006,2423,January
6/1/2020,MA,100805,3840,August
6/2/2020,MP,23,1,November
6/2/2020,GU,177,2,June
6/2/2020,WY,912,2,March
6/2/2020,MT,523,4,November
6/2/2020,VT,988,5,August
6/2/2020,AK,487,20,September
6/2/2020,ND,2645,22,July
6/2/2020,WV,2041,24,February
6/2/2020,ME,2377,28,December
6/2/2020,DC,8886,29,June
6/2/2020,OR,4335,33,March
6/2/2020,SD,5067,33,November
6/2/2020,NH,4685,34,April
6/2/2020,PR,3935,62,February
6/2/2020,ID,2906,67,January
6/2/2020,DE,9685,80,October
6/2/2020,RI,15194,107,June
6/2/2020,NM,7800,111,September
6/2/2020,OK,6692,119,February
6/2/2020,KY,10185,139,November
6/2/2020,NV,8830,142,June
6/2/2020,CO,26577,199,February
6/2/2020,UT,10202,203,October
6/2/2020,CT,42979,236,June
6/2/2020,NE,14345,244,April
6/2/2020,MO,13575,248,September
6/2/2020,SC,12415,267,June
6/2/2020,MS,16020,268,June
6/2/2020,AL,18642,279,November
6/2/2020,MI,64103,290,January
6/2/2020,IA,20016,319,May
6/2/2020,MA,101163,358,June
6/2/2020,OH,36350,366,June
6/2/2020,LA,40746,405,February
6/2/2020,IN,35237,407,December
6/2/2020,WA,23703,415,January
6/2/2020,WI,21155,419,February
6/2/2020,MN,27376,479,April
6/2/2020,GA,48207,589,November
6/2/2020,PA,73510,612,June
6/2/2020,FL,57447,617,November
6/2/2020,NC,29889,626,February
6/2/2020,NJ,161545,627,November
6/2/2020,TN,24375,821,September
6/2/2020,VA,46239,841,July
6/2/2020,MD,54175,848,September
6/2/2020,AZ,21250,1127,June
6/2/2020,NY,373040,1329,December
6/2/2020,IL,122848,1614,February
6/2/2020,TX,66568,1688,November
6/2/2020,CA,115310,2304,April
6/3/2020,GU,178,1,August
6/3/2020,HI,653,1,July
6/3/2020,MT,525,2,November
6/3/2020,VT,990,2,October
6/3/2020,WY,915,3,November
6/3/2020,AK,505,18,February
6/3/2020,DE,9712,27,May
6/3/2020,ID,2933,27,June
6/3/2020,WV,2071,30,October
6/3/2020,ND,2678,33,June
6/3/2020,IA,20055,39,September
6/3/2020,ME,2418,41,March
6/3/2020,NH,4749,64,May
6/3/2020,OR,4399,64,June
6/3/2020,PR,4023,88,April
6/3/2020,SD,5162,95,August
6/3/2020,NV,8931,101,October
6/3/2020,RI,15299,105,November
6/3/2020,CT,43091,112,July
6/3/2020,OK,6805,113,August
6/3/2020,DC,9016,130,May
6/3/2020,KS,10170,159,April
6/3/2020,MO,13767,192,July
6/3/2020,AL,18851,209,April
6/3/2020,CO,26788,211,November
6/3/2020,NM,8024,224,August
6/3/2020,KY,10410,225,August
6/3/2020,SC,12651,236,April
6/3/2020,NE,14611,266,April
6/3/2020,MI,64382,279,March
6/3/2020,UT,10497,295,August
6/3/2020,MS,16322,302,March
6/3/2020,WA,24086,383,November
6/3/2020,LA,41133,387,October
6/3/2020,MA,101592,429,December
6/3/2020,OH,36792,442,April
6/3/2020,TN,24822,447,August
6/3/2020,IN,35712,475,May
6/3/2020,WI,21661,506,July
6/3/2020,PA,74022,512,June
6/3/2020,MN,27889,513,July
6/3/2020,NJ,162068,523,February
6/3/2020,AR,8067,624,December
6/3/2020,VA,46905,666,June
6/3/2020,GA,48894,687,October
6/3/2020,MD,54982,807,October
6/3/2020,NC,30777,888,February
6/3/2020,IL,123830,982,July
6/3/2020,AZ,22233,983,April
6/3/2020,NY,374085,1045,September
6/3/2020,FL,58764,1317,February
6/3/2020,TX,68271,1703,February
6/3/2020,CA,117687,2377,May
6/4/2020,GU,179,1,January
6/4/2020,VI,71,1,April
6/4/2020,MP,26,3,June
6/4/2020,WY,921,6,October
6/4/2020,AK,513,8,November
6/4/2020,MT,539,14,November
6/4/2020,WV,2092,21,November
6/4/2020,ND,2704,26,April
6/4/2020,ME,2446,28,December
6/4/2020,DE,9746,34,August
6/4/2020,VT,1026,36,September
6/4/2020,NH,4795,46,November
6/4/2020,ID,2990,57,June
6/4/2020,OR,4474,75,February
6/4/2020,SD,5247,85,August
6/4/2020,OK,6907,102,July
6/4/2020,DC,9120,104,October
6/4/2020,NM,8140,116,January
6/4/2020,RI,15416,117,June
6/4/2020,CT,43239,148,October
6/4/2020,NV,9090,159,July
6/4/2020,AL,19072,221,January
6/4/2020,MI,64616,234,October
6/4/2020,MS,16560,238,February
6/4/2020,NE,14866,255,November
6/4/2020,CO,27060,272,November
6/4/2020,MO,14057,290,April
6/4/2020,KY,10705,295,January
6/4/2020,TN,25120,298,September
6/4/2020,UT,10813,316,July
6/4/2020,WA,24416,330,November
6/4/2020,SC,13005,354,December
6/4/2020,IN,36096,384,December
6/4/2020,MN,28290,401,October
6/4/2020,LA,41562,429,March
6/4/2020,NJ,162530,462,July
6/4/2020,MA,102063,471,January
6/4/2020,PR,4508,485,September
6/4/2020,OH,37282,490,November
6/4/2020,AZ,22753,520,December
6/4/2020,WI,22193,532,May
6/4/2020,PA,74560,538,December
6/4/2020,IA,20805,750,January
6/4/2020,MD,55858,876,December
6/4/2020,IL,124759,929,September
6/4/2020,VA,47856,951,October
6/4/2020,GA,49847,953,October
6/4/2020,NY,375133,1048,January
6/4/2020,NC,31966,1189,April
6/4/2020,FL,60183,1419,February
6/4/2020,TX,69920,1649,August
6/4/2020,CA,119807,2120,April
6/5/2020,VT,1027,1,July
6/5/2020,HI,655,2,July
6/5/2020,MT,541,2,February
6/5/2020,AK,524,11,February
6/5/2020,WY,933,12,September
6/5/2020,DE,9773,27,November
6/5/2020,WV,2119,27,June
6/5/2020,SD,5277,30,November
6/5/2020,ME,2482,36,May
6/5/2020,ND,2744,40,July
6/5/2020,ID,3054,64,January
6/5/2020,DC,9199,79,February
6/5/2020,NH,4876,81,August
6/5/2020,OR,4570,96,December
6/5/2020,RI,15521,105,March
6/5/2020,PR,4620,112,June
6/5/2020,NV,9266,176,September
6/5/2020,MO,14253,196,December
6/5/2020,MS,16759,199,December
6/5/2020,MI,64821,205,January
6/5/2020,NM,8353,213,May
6/5/2020,CT,43460,221,May
6/5/2020,KS,10393,223,February
6/5/2020,NE,15117,251,April
6/5/2020,KY,10977,272,April
6/5/2020,CO,27360,300,July
6/5/2020,AL,19387,315,June
6/5/2020,IA,21152,347,December
6/5/2020,WA,24809,393,September
6/5/2020,MN,28688,398,May
6/5/2020,TN,25520,400,December
6/5/2020,WI,22599,406,August
6/5/2020,LA,41989,427,February
6/5/2020,UT,11252,439,October
6/5/2020,PA,75005,445,August
6/5/2020,SC,13453,448,August
6/5/2020,OH,37758,476,October
6/5/2020,IN,36578,482,September
6/5/2020,MA,102557,494,December
6/5/2020,AR,8651,584,January
6/5/2020,VA,48532,676,January
6/5/2020,GA,50621,774,August
